NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,RMSE,STDR
era5,1,25,5,24,0.9988,0.3389,1.0001
era5,1,25,5,48,0.9984,0.3997,1.0013
era5,1,25,5,72,0.9985,0.3885,1.0021
era5,1,25,5,96,0.9984,0.3988,1.0015
era5,1,25,10,24,0.9978,0.4724,1.0005
era5,1,25,10,48,0.9975,0.5034,1.0025
era5,1,25,10,72,0.9967,0.5715,1.0056
era5,1,25,10,96,0.9968,0.5643,1.0088
era5,1,25,15,24,0.9961,0.6206,1.0022
era5,1,25,15,48,0.9956,0.6607,1.012
era5,1,25,15,72,0.9946,0.735,1.0234
era5,1,25,15,96,0.9944,0.7494,1.0011
era5,1,25,20,24,0.995,0.7034,1.0043
era5,1,25,20,48,0.9936,0.7993,0.9972
era5,1,25,20,72,0.9937,0.7912,1.0106
era5,1,25,20,96,0.9923,0.8746,0.999
era5,2,25,5,24,0.9989,0.332,1.0042
era5,2,25,5,48,0.9985,0.3915,1.0003
era5,2,25,5,72,0.9984,0.4012,1.001
era5,2,25,5,96,0.9984,0.3995,1.0019
era5,2,25,10,24,0.9976,0.488,1.0045
era5,2,25,10,48,0.9974,0.5121,0.9979
era5,2,25,10,72,0.9966,0.5824,0.9916
era5,2,25,10,96,0.9966,0.5836,1.0678
era5,2,25,15,24,0.9965,0.5948,1.0033
era5,2,25,15,48,0.9953,0.6839,1.0077
era5,2,25,15,72,0.9953,0.6828,1.0008
era5,2,25,15,96,0.9948,0.721,1.0038
era5,2,25,20,24,0.9952,0.6896,0.7375
era5,2,25,20,48,0.9941,0.7682,0.8495
era5,2,25,20,72,0.9933,0.8169,1.016
era5,2,25,20,96,0.9936,0.7984,1.0085
era5,3,25,5,24,0.9988,0.3447,1.001
era5,3,25,5,48,0.9986,0.379,0.9968
era5,3,25,5,72,0.9982,0.4219,1.0024
era5,3,25,5,96,0.9982,0.4193,1.0051
era5,3,25,10,24,0.9974,0.5106,1.0088
era5,3,25,10,48,0.997,0.5511,1.0098
era5,3,25,10,72,0.9969,0.5571,1.0073
era5,3,25,10,96,0.9962,0.615,1.0747
era5,3,25,15,24,0.9963,0.6091,1.0008
era5,3,25,15,48,0.9957,0.6584,1.0062
era5,3,25,15,72,0.995,0.704,1.0036
era5,3,25,15,96,0.9951,0.7016,1.0165
era5,3,25,20,24,0.9946,0.7302,1.0093
era5,3,25,20,48,0.9935,0.8042,1.0307
era5,3,25,20,72,0.9929,0.8415,1.0481
era5,3,25,20,96,0.9931,0.8324,1.0178
era5,4,25,5,24,0.9987,0.3613,1.0013
era5,4,25,5,48,0.9986,0.3805,1.0322
era5,4,25,5,72,0.998,0.4493,1.0066
era5,4,25,5,96,0.9982,0.4271,1.0065
era5,4,25,10,24,0.9976,0.4938,1.0062
era5,4,25,10,48,0.9972,0.5291,1.0048
era5,4,25,10,72,0.9968,0.5639,1.0049
era5,4,25,10,96,0.9965,0.5918,0.9992
era5,4,25,15,24,0.9965,0.5941,1.0044
era5,4,25,15,48,0.9959,0.6386,0.9932
era5,4,25,15,72,0.9955,0.6688,0.9942
era5,4,25,15,96,0.9956,0.6611,1.0036
era5,4,25,20,24,0.9947,0.7263,1.0013
era5,4,25,20,48,0.9937,0.7906,1.0871
era5,4,25,20,72,0.9939,0.778,1.0059
era5,4,25,20,96,0.9927,0.8525,0.9989
era5,5,25,5,24,0.9989,0.3339,0.9783
era5,5,25,5,48,0.9988,0.3475,1.0
era5,5,25,5,72,0.9985,0.3873,1.003
era5,5,25,5,96,0.9986,0.3765,1.0131
era5,5,25,10,24,0.9976,0.4911,1.0035
era5,5,25,10,48,0.9973,0.5185,0.9993
era5,5,25,10,72,0.997,0.5468,0.9996
era5,5,25,10,96,0.9967,0.5703,1.0014
era5,5,25,15,24,0.9961,0.622,1.0014
era5,5,25,15,48,0.9958,0.6502,1.0057
era5,5,25,15,72,0.9953,0.685,1.0114
era5,5,25,15,96,0.9953,0.6879,0.9806
era5,5,25,20,24,0.9948,0.7188,0.7369
era5,5,25,20,48,0.9935,0.8066,1.0214
era5,5,25,20,72,0.9933,0.8214,0.9974
era5,5,25,20,96,0.9935,0.8055,1.0056
